Time,FlowRate,InletTemperature,OutletTemperature,AirTemperature,RelativeHumidity
730,42.31884498,25.37428881,28.0950745,30.6,85.2
740,46.83516907,25.14419421,29.55197034,30.4,84.9
750,43.70822297,25.42566944,27.92095163,30.0,81.3
760,46.54472503,25.72016127,27.41659626,30.7,85.3
770,44.70137464,24.98941,28.72880394,30.1,84.5
780,45.93862921,24.97471153,26.70860894,30.2,84.8
790,46.50952062,25.20876404,27.16678912,30.1,81.7
800,46.03287937,25.34708431,29.87620031,30.0,84.8
810,42.34227034,25.16340231,29.47505748,30.6,85.1
820,43.84593802,25.01666029,27.23537265,29.9,82.5
830,46.02599838,25.51551363,28.36569294,30.0,81.6
840,42.48361811,25.0784832,27.16463788,30.7,81.5
850,40.48246582,25.27075449,27.34710094,30.1,84.1
860,43.42755504,24.98627012,28.92195305,30.5,83.2
870,42.12540004,25.45085892,28.2591156,29.9,80.9
880,42.2404081,25.53446892,27.66155908,30.2,84.2
890,41.58329214,25.26090121,28.7480371,30.3,80.8
900,38.05997827,25.25843939,28.5910789,30.5,84.2
910,39.97406958,25.49073897,27.72325178,30.7,83.5
920,40.58980555,25.72992696,29.00030848,30.3,85.0
930,38.69566067,25.83042391,28.0218987,29.9,81.0
940,35.9861723,25.15110926,27.14671207,30.2,80.7
950,35.82550534,25.05377459,29.90774161,30.4,85.3
960,36.91208351,25.03750493,27.98567326,30.5,82.3
970,37.47714025,25.0623632,29.82308615,30.4,80.7
980,36.78963923,25.11981254,28.39880893,30.3,84.2
990,35.09407209,25.20672967,29.88340574,30.7,83.1
1000,37.78577938,25.20980612,27.99632915,30.0,81.1
1010,36.68684571,25.47056641,28.96218028,30.2,81.5
1020,35.55585899,25.71301642,29.73898164,30.7,83.6
1030,34.47075095,25.21820077,28.27410203,30.0,81.5
1040,37.12865991,25.15119839,28.629043,30.1,82.9
1050,33.53683606,25.67859941,27.71505306,30.0,85.2
1060,35.3197102,25.62375045,28.54313498,29.9,81.3
1070,34.90128677,25.53535327,29.63291743,29.8,84.5
1080,36.62217166,24.93185017,28.35252216,30.1,84.4
1090,35.10689545,25.55200865,30.00329909,30.7,82.3
1100,32.95176558,25.0315665,27.41902811,30.1,82.7
1110,38.09000046,25.13167918,28.2699576,29.9,85.1
1120,35.86050101,25.47357063,29.86760292,30.4,84.6
1130,35.13728897,25.17793599,27.99068477,30.3,83.8
1140,37.72027711,25.03569699,28.34955491,30.4,81.3
1150,35.81518622,25.10142008,29.76451513,29.8,83.9
1160,39.88929093,25.86646766,28.801833,30.1,81.1
1170,36.90182311,25.48484622,27.81740817,30.5,80.7
1180,40.37975142,24.93991764,29.19724259,30.1,81.7
1190,38.74499381,25.02478075,29.16579511,29.8,84.8
1200,37.05347751,24.90389499,27.28732024,30.0,81.2
1210,37.53194084,25.29162202,28.8630802,29.8,82.9
1220,38.78195525,24.98929059,27.87761117,30.6,81.1
1230,39.62672537,25.34838585,27.20158201,30.4,84.5
1240,42.35937805,25.49799981,29.18627691,30.5,81.0
1250,42.11243882,25.09049028,28.24853129,30.1,83.5
1260,43.68177756,25.01695768,29.50203498,29.9,80.9
1270,44.68833168,25.44090137,29.42665296,29.8,83.0
1280,40.87383633,24.9801035,27.59757661,30.4,81.9
1290,42.10141863,24.99423226,28.07167767,30.1,84.4
1300,45.61929338,25.35765735,29.89022422,30.4,84.4
1310,41.83924463,25.42408044,27.49292391,30.7,81.7
1320,47.03353348,25.97218275,28.6538109,30.1,82.7
1330,47.141871,25.59978963,27.95397373,29.9,85.2
1340,45.50116171,25.49361434,28.71847551,30.3,85.6
1350,44.78897729,25.38499703,29.53066997,30.5,85.3
1360,44.12089596,25.35796001,29.86157885,30.5,85.1
1370,47.13014319,25.73224361,28.46235404,30.2,81.7
1380,42.77936722,25.52861552,29.58099914,30.2,80.6
1390,43.51633187,25.46104857,29.36438333,30.1,84.7
1400,43.57945153,25.73109482,29.65501586,30.1,81.7
1410,42.48745786,25.15580795,27.82585208,30.6,82.5
1420,45.93321784,25.50034078,29.87210204,30.1,81.3
1430,43.61940603,25.33929156,27.38022567,30.2,85.4
1440,41.29076469,25.8111091,28.90901707,30.2,81.8
1450,44.94432601,25.16637412,29.49739682,30.0,84.4
1460,40.30103639,25.24119769,28.64313063,30.4,83.7
1470,39.95643812,25.16355064,27.83913985,30.0,83.3
1480,42.41670392,25.66054645,29.96311147,30.4,84.3
1490,38.79354741,25.2637818,29.018628,30.1,82.2
1500,38.18052472,25.87541605,28.66704871,30.3,84.8
1510,38.64920077,24.90938093,28.86476419,29.8,81.9
1520,37.92405248,25.62547283,29.20746378,30.0,81.4
1530,38.49479052,25.33585557,27.33994381,30.6,81.5
1540,40.52055821,25.5148523,28.0156196,29.9,84.5
1550,35.96338151,25.79144874,28.58218428,30.2,85.1
1560,39.4525956,24.97807881,29.03440858,30.1,83.0
1570,37.7217123,25.85186528,29.46637333,30.0,83.2
1580,38.46145623,25.41536368,29.26432851,30.5,84.0
1590,37.80343638,25.27449063,29.81372395,30.4,81.4
1600,34.7620974,25.02467831,28.44258538,30.5,81.1
1610,37.43056124,24.94002085,28.08306555,30.1,80.6
1620,36.44491519,25.06319814,28.42149279,29.8,82.8
1630,34.56219516,24.90283383,27.08119246,30.7,85.1
1640,33.59749974,25.64331106,28.41915721,30.2,85.2
1650,36.29673484,25.43050297,28.62501873,30.2,80.7
1660,36.60842744,25.44835446,28.686974,29.9,82.3
1670,32.8477263,25.12269282,30.06389959,29.9,84.8
1680,33.4449994,25.36964379,28.34434736,30.2,82.2
1690,35.91268528,25.03871959,26.98140152,30.4,82.7
1700,36.7020391,25.73740204,30.00632169,30.0,84.1
1710,33.17162641,25.28214325,29.64623781,30.1,84.0
1720,36.31446098,25.62759793,30.32230465,29.9,82.3
1730,35.46704236,25.01644653,28.31849495,30.6,81.9
1740,35.81797604,25.53592099,29.38981975,30.3,81.3
1750,36.02430489,25.84054024,30.68825745,30.2,81.7
1760,36.37630027,25.39399787,28.75930396,30.0,85.5
1770,36.23130539,25.34088949,27.30763193,30.4,81.0
1780,38.80649568,25.0771075,28.81962269,30.0,83.3
1790,37.88456006,25.53020983,29.61139736,30.4,81.1
1800,39.00413585,25.83790764,28.99777982,30.5,83.3
1810,40.06760758,25.86899013,30.30455139,30.3,83.4
1820,41.36501817,25.42815772,28.39201566,30.4,81.0
1830,38.61352593,25.578528,30.22932162,30.5,84.6
1840,39.52892893,25.23133549,29.48039878,29.9,85.4
1850,43.33966308,25.16689507,28.12350026,30.0,85.3
1860,43.4329237,24.94160922,27.59218696,30.1,80.7
1870,42.36767238,25.40558925,28.39549595,30.3,83.8
1880,44.79674945,25.13446763,28.87064794,30.3,84.2
1890,43.05978366,25.3938513,28.06033841,30.1,82.3
1900,43.70207101,25.40941638,29.84668917,29.8,81.5
1910,45.63264482,25.93158377,30.04466563,29.9,81.4
1920,42.44136648,25.49313325,27.84007234,29.9,84.5
1930,45.83838619,25.28440678,28.52677692,30.6,85.3
1940,42.76363211,25.91299947,30.32432445,30.4,83.4
1950,43.22977246,25.48640762,29.61944101,30.1,83.8
1960,46.63492736,25.93838997,28.66814839,29.8,82.6
1970,47.21901451,25.40678769,29.11450868,30.5,84.1
1980,46.65546229,25.48282135,28.79954463,30.4,82.5
1990,46.18023314,25.35874135,27.60213854,30.4,81.5
2000,44.96516428,25.36578036,28.15319924,30.7,84.6
2010,44.28156857,25.50210142,28.0665405,30.3,83.1
2020,46.35087918,25.65338154,29.71926983,30.7,83.8
2030,44.12796555,25.78778612,29.84597379,30.6,84.4
2040,44.00559546,25.21182972,28.7679467,30.0,83.3
2050,42.97885537,25.89895507,29.85276513,29.8,84.3
2060,42.03900032,25.65039978,28.77124819,29.8,80.6
2070,39.62101658,25.23230984,27.53013772,29.8,83.8
2080,41.09555805,25.35150733,29.28372883,30.3,83.9
2090,43.53618014,25.76613546,29.79781106,30.2,85.0
2100,38.8880772,25.05221068,29.688067,30.6,83.8
2110,41.93143143,25.64948318,29.64849115,30.7,84.3
2120,41.82892156,25.41356687,27.83125788,29.9,84.8
2130,37.38974113,25.37850533,28.35879441,30.6,84.1
2140,38.35579719,25.77044667,29.84879451,30.6,80.7
2150,39.25527494,25.76058849,28.02076552,30.6,82.4
2160,36.76320125,25.67261354,29.31966473,29.9,84.0
2170,37.5663141,25.84755432,28.26014563,30.1,82.8
2180,36.01355616,25.81098716,28.02992013,30.3,81.7
2190,35.07616627,24.88250793,28.86737008,30.5,82.9
2200,36.90381777,24.88554375,27.58321312,29.9,81.9
2210,36.1134423,25.30506696,29.46823949,30.6,85.2
2220,33.28460348,25.66525724,29.08802866,30.2,80.9
2230,37.19725692,25.87152775,29.99700701,29.8,83.2
2240,35.59092526,25.83770689,28.88239423,30.5,82.6
2250,37.17562542,25.14010732,28.30219575,29.8,81.4
2260,36.45833965,24.90204248,28.31296675,30.7,82.7
2270,36.44755607,24.87895178,27.98123704,30.1,83.3
2280,34.51829701,25.70983638,28.93495198,30.3,81.1
2290,37.57767705,25.82660075,30.3276635,29.8,83.5
2300,36.83483473,25.4375979,29.95901807,30.2,82.8
2310,36.34891815,25.54366364,29.15721179,29.9,81.9
2320,33.74531358,25.01433041,27.80505543,30.4,84.5
2330,38.32164172,24.89864614,29.55280706,30.7,83.8
2340,35.87505322,25.02921042,28.09832711,30.7,83.9
2350,35.09016015,25.24937963,29.30043787,30.0,85.4
2360,39.72452341,25.40745738,27.47808205,30.1,84.8
2370,40.22889584,25.76982631,29.76704987,30.0,84.9
2380,38.78385761,25.18512532,27.60429296,29.9,82.2
2390,36.99525572,25.25877929,29.13390913,30.2,83.1
2400,41.55916055,25.91164374,29.29604333,30.5,83.9
2410,40.06496205,25.50710299,28.32160792,30.5,83.8
2420,39.03530388,25.34349747,29.89963824,29.9,81.7
2430,42.29408073,25.6674939,28.95921875,30.7,83.1
2440,43.92817386,25.81296849,27.95698593,30.6,82.3
2450,39.87191781,25.83926737,29.28668137,30.1,82.4
2460,44.96382544,25.78282644,29.21824672,29.8,84.8
2470,41.40754461,25.16635749,27.67276689,30.5,82.0
2480,45.37149344,25.10034671,28.75671862,30.6,83.5
2490,41.90281066,25.90879482,28.12452973,30.3,83.3
2500,42.69132384,25.21466074,27.67469382,30.7,84.9
2510,43.14478909,25.80416682,28.77836495,30.0,85.3
2520,42.91606692,25.88245012,27.97732094,30.1,82.5
2530,44.50477369,25.70841023,29.5023469,30.7,84.9
2540,47.33946982,25.12641652,28.91026037,30.0,85.2
2550,45.17893388,25.89970479,29.53787028,30.6,84.3
2560,43.34401642,25.09182688,29.13279227,30.6,84.3
2570,45.53288884,25.48651851,29.22026903,30.7,85.3
2580,46.68889698,25.95260392,27.95980653,30.3,82.3
2590,44.91975538,25.06275563,26.91040579,30.3,84.3
2600,42.75819133,25.63817412,29.81745429,30.1,85.0
2610,44.39526349,25.08759371,27.59057598,30.3,80.6
2620,43.19237054,25.9067727,30.55983252,30.4,84.9
2630,44.43653648,25.8140927,29.6885674,30.0,85.3
2640,44.48716898,25.35375942,27.46836728,30.1,80.6
2650,41.63095927,25.51153707,29.38042629,29.8,81.4
2660,41.52704364,25.5600659,28.88238067,30.6,84.3
2670,44.40167485,25.51380588,28.30711224,30.1,84.0
2680,40.79087723,25.04368335,29.52886471,30.1,82.9
2690,41.00576483,25.67936553,28.12336939,30.1,84.2
2700,39.6809482,25.50450838,28.63394309,30.4,82.2
2710,39.12480584,25.1853814,27.23688735,30.1,83.0
2720,41.27877367,25.91512167,29.88014958,30.6,82.4
2730,38.47559845,25.24443583,28.68830335,30.4,84.5
2740,36.91015464,24.95543569,27.07246603,29.9,81.7
2750,37.62742599,25.57850596,29.24649952,30.4,84.0
2760,35.43413476,25.45418574,30.30913355,30.2,85.4
2770,35.01280168,25.24888721,29.54819909,30.2,83.4
2780,36.7748126,25.41422025,27.79602306,30.2,85.5
2790,34.36854831,25.38902178,30.23167771,30.5,82.3
2800,38.14979124,25.08892388,29.9186636,30.1,83.8
2810,36.21606071,25.58886674,30.02525879,30.4,81.5
2820,37.86393503,25.88327918,29.43655861,30.6,84.5
2830,37.67221748,25.74730786,29.182441,30.3,82.4
2840,35.72206385,25.76800656,30.66947463,30.2,81.4
2850,35.82972585,25.83441092,29.47416764,30.5,81.0
2860,33.74992006,25.31411099,28.22356321,30.7,85.0
2870,34.12743841,25.23995067,29.49436825,30.4,83.8
2880,35.3204765,25.39169787,28.68182583,30.7,80.9
2890,32.78271839,25.1506454,27.50063033,30.6,84.1
2900,37.17433456,25.46735406,28.78253331,30.3,80.9
2910,33.23022896,25.55147538,28.81730968,30.3,84.3
2920,33.55112766,25.55819639,28.11204477,30.7,84.5
2930,37.12119241,25.2288445,28.21323256,30.0,81.4
2940,36.45666083,25.53542351,27.77392643,30.2,83.9
2950,38.31641669,25.07709165,27.42487449,30.0,82.0
2960,39.36177507,25.5995535,29.82469454,30.4,84.0
2970,39.25309732,25.80594734,29.07866932,30.5,80.7
2980,39.63803645,25.16177185,28.18282898,29.9,83.9
2990,37.39302039,25.33321642,29.14227003,30.7,85.3
3000,38.19735558,25.04683458,29.36539433,30.1,83.4
3010,39.24744515,25.44979792,29.35264684,30.4,84.8
3020,38.92321317,25.87469424,30.2607872,30.6,85.3
3030,40.81634461,25.31940774,28.9096854,30.0,82.4
3040,43.0065785,25.91045106,29.04953572,30.3,83.0
3050,43.53718605,25.72672277,29.46718514,30.1,85.0
3060,44.56679131,25.21467402,29.74558786,30.0,81.4
3070,41.88701533,25.39652598,29.6169061,30.7,85.3
3080,43.42415733,25.80511372,28.68532369,30.7,80.7
3090,45.26287907,25.65989227,29.14599001,30.5,84.5
3100,43.4649597,25.83470309,28.31787898,30.4,82.0
3110,46.33678958,25.65129349,29.10249779,30.5,81.3
3120,42.2097934,25.6454909,30.23404276,30.2,82.0
3130,46.66537333,25.88265155,27.69019435,30.6,81.4
3140,43.36200481,25.28068306,27.91966651,29.9,83.3
3150,47.36951623,25.80997472,27.78165224,30.7,81.9
3160,42.8146051,25.70665304,27.93968575,29.9,80.9
3170,47.38982266,25.13260931,27.74317261,30.7,84.6
3180,43.76198305,25.26507466,27.05657963,30.5,81.7
3190,44.38928273,25.48178745,27.37437346,29.7,83.8
3200,43.76835656,25.04385332,27.61187777,30.5,81.8
3210,46.30052145,25.83961652,27.6655555,30.0,84.2
3220,44.35009958,25.61674851,29.36271519,30.7,83.4
3230,45.802384,25.51854485,27.32476119,29.8,80.7
3240,44.43637849,25.28286522,27.45292647,29.8,84.0
3250,41.42597424,25.29156545,28.91458214,30.4,81.0
3260,40.97511623,25.03356022,27.90371182,30.1,83.1
3270,44.31584839,25.15226432,28.57003683,29.9,83.5
3280,42.58294063,25.23689995,28.85795283,30.3,84.0
3290,42.9557139,25.8924854,29.17294695,30.4,81.7
3300,38.02289775,25.62995913,28.2336204,30.4,82.0
3310,41.97317807,25.70650529,29.55576304,30.3,83.9
3320,37.09734346,24.94044943,29.46365135,30.0,81.9
3330,37.79392887,25.44657432,30.23358101,30.4,83.5
3340,39.32124017,25.42464719,29.37470351,30.6,85.4
3350,36.76693449,25.36582774,28.2098101,30.0,84.8
3360,39.18937301,25.58446992,29.23582002,30.5,84.7
3370,36.03918284,25.76934146,29.69884438,29.8,80.8
3380,37.5566555,25.88208341,28.59822527,30.1,83.8
3390,38.04710233,25.06894446,28.30611569,29.8,82.1
3400,37.3412869,25.40531772,28.7400442,30.6,82.9
3410,34.90373807,25.09503564,27.69121844,29.8,81.4
3420,34.55418628,25.85136147,28.25881443,30.2,84.0
3430,34.10320525,25.26045976,27.87901009,30.1,84.5
3440,35.31367408,25.55613215,30.46508587,30.2,82.4
3450,34.00977427,24.94073746,29.55228691,30.6,82.7
3460,36.67120324,25.13728795,29.17386341,30.7,82.0
3470,37.23662718,25.12463997,28.82762581,30.0,84.0
3480,33.54209978,25.0425892,27.82730483,30.5,83.1
3490,37.70296858,24.97892391,29.57354538,30.6,83.0
3500,35.98542424,24.975138,27.17511655,30.5,81.4
3510,34.35749873,24.89679515,27.84900924,29.9,81.6
3520,37.3305044,25.46040843,30.22625843,30.3,85.6
3530,35.00662555,25.15934899,27.96161653,30.3,82.1
3540,38.91631343,25.24787115,27.72147199,30.4,85.2
3550,34.63816472,25.12877538,27.90755762,29.7,85.0
3560,35.34624523,25.68441925,28.93700997,30.5,82.1
3570,36.10227676,25.77050053,29.56622514,30.6,81.9
3580,39.40810406,25.39390843,27.82736631,30.4,84.3
3590,40.0332255,25.88958599,29.55776544,30.7,83.9
3600,39.05108958,25.01077934,29.3488398,30.2,82.4
3610,40.76607789,25.13681392,29.79955599,30.3,84.2
3620,38.8226311,25.32073009,28.59828394,30.3,83.6
3630,39.53517455,25.13081781,28.94573905,30.7,83.1
3640,42.86313477,25.07667729,29.02980702,29.9,85.4
3650,44.01518026,25.28407682,27.50271959,30.4,84.8
3660,44.24174008,25.01074539,28.88152927,29.9,83.6
3670,43.87551302,25.09076077,28.7199522,30.7,83.0
3680,41.03730275,25.80904808,28.04495228,30.5,81.6
3690,42.32528607,25.32248611,27.9681049,30.2,83.1
3700,45.96296458,25.86929112,28.96007564,30.6,85.2
3710,44.00456959,25.71342235,29.25787152,30.1,84.8
3720,45.47736358,25.15731503,27.93919502,30.0,83.2
3730,45.17037845,25.90073587,28.09317502,30.6,81.5
3740,43.58894615,25.85077308,29.57897392,29.9,85.2
3750,44.0895531,25.91213459,29.97651121,30.7,83.7
3760,43.95076161,25.90566106,28.89273715,30.1,82.7
3770,46.30846974,25.24134503,28.98970897,30.0,82.8
3780,43.26095138,24.99338346,28.92645,30.3,82.6
3790,42.95976878,25.05128364,29.16313954,30.0,82.3
3800,45.46893952,25.50296924,27.63674121,30.7,84.2
3810,42.19313158,25.52647253,29.20402458,29.8,81.8
3820,46.2697415,25.59220763,28.70204537,30.3,80.9
3830,41.90028646,25.06139567,27.12231606,30.4,82.4
3840,43.92013534,25.73107973,27.5047755,30.1,83.1
3850,41.12924157,25.4783158,29.59113167,30.1,84.9
3860,41.49257632,25.45697382,29.86775593,30.0,84.7
3870,41.45019062,25.51451147,27.74290372,29.8,83.3
3880,42.39824909,24.97363536,26.85249935,30.1,82.2
3890,41.31223536,25.14357646,28.27959656,29.9,80.6
3900,40.85267447,24.92509045,27.31333095,30.7,80.7
3910,40.39821949,25.3747486,29.63112279,30.2,81.9
3920,39.05963299,25.75015289,30.20106897,29.9,82.2
3930,38.69244753,24.89752286,28.5639179,30.4,83.0
3940,38.27623318,25.43397133,27.67166262,30.0,83.5
3950,36.48632262,25.82844023,29.0825963,30.2,83.8
3960,35.75878402,25.00759776,27.91969457,30.1,84.8
3970,36.68909846,25.50638535,30.01441032,30.2,81.3
3980,38.43139404,25.22790677,27.43666907,30.0,81.5
3990,35.42971818,25.39132736,27.77351849,29.7,80.9
4000,38.16319369,25.27731485,27.33436823,30.1,83.5
4010,34.14146158,25.16547709,29.72438805,30.4,83.0
4020,36.87268854,25.2193958,28.29324105,30.5,84.8
4030,37.73982198,25.75958273,30.39333364,30.4,81.5
4040,35.52653324,25.61294529,28.02445568,30.2,83.4
4050,35.52727729,25.53907246,28.87177055,30.0,82.1
4060,33.08312633,25.50815793,29.4362033,29.9,83.5
4070,36.49365044,25.02094367,29.71067619,29.8,83.0
4080,34.80767185,24.87026596,28.45597321,29.8,81.4
4090,33.40040088,25.7864082,30.01767739,30.0,85.5
4100,37.30412849,25.16139118,27.4760257,29.8,80.7
4110,33.62995509,25.0439304,28.41678159,29.8,81.3
4120,37.36083172,25.02525172,27.69487247,30.4,85.4
4130,37.20114785,25.03737507,27.45578243,30.6,83.0
4140,35.97117229,25.78322031,29.8892532,29.8,84.0
4150,37.5687539,25.77263533,28.21492111,30.0,84.5
4160,36.98985594,25.18184831,28.08601715,30.3,81.4
4170,40.07428004,25.67328435,27.67967243,29.8,83.0
4180,39.03085446,25.51797594,28.13471102,30.3,85.0
4190,40.94764922,25.75549863,30.05341095,30.4,82.3
4200,40.75773314,25.43594536,29.99376847,29.8,80.6
4210,41.09173217,25.06198418,27.6722867,30.2,84.3
4220,40.40376788,25.49373112,27.41695748,30.3,84.2
4230,39.04610525,25.01043964,29.17019883,30.0,84.8
4240,43.57194009,25.49533178,27.6612409,30.2,83.5
4250,44.32078235,24.96164385,29.50353364,30.4,84.4
4260,40.37792044,25.68105389,28.91287281,30.3,84.9
4270,42.02846156,25.32996064,29.6203966,30.5,85.2
4280,44.22758682,25.05174322,28.66787369,30.6,83.6
4290,43.50414491,25.57401428,28.78881222,29.9,84.1
4300,45.7700996,25.39980136,29.72052861,30.6,81.3
4310,42.47856218,25.21650762,28.47814896,30.1,81.7
4320,44.28440324,25.2102359,27.64944513,30.5,83.5
4330,46.72700408,25.94318185,30.41785571,30.6,82.5
4340,45.27811579,25.69911086,27.95130103,30.3,85.5
4350,43.82392366,25.88013074,28.80157381,30.2,83.6
4360,46.88067749,25.91046271,27.67621077,30.1,81.1
4370,44.33760322,25.68281162,29.36396849,30.1,81.2
4380,43.56549269,25.47512228,28.44142195,29.8,82.9
4390,45.15552379,25.51283826,28.95316491,29.9,80.7
4400,45.34742817,25.05258835,29.30625598,29.8,81.6
4410,45.56267709,25.21518109,28.64522434,30.3,85.5
4420,43.2718175,25.85824585,29.74608523,30.5,82.2
4430,43.64039489,25.3287841,27.07441613,30.4,80.6
4440,41.27911988,25.70357412,30.37040474,30.7,85.3
4450,44.71643571,25.75109348,28.76722952,29.9,83.9
4460,44.32624817,25.25403744,29.08371337,30.5,85.2
4470,42.19780372,25.75343922,28.1687635,30.1,85.3
4480,43.54260489,25.3013308,29.01421942,30.2,84.2
4490,41.64141067,25.62737939,29.2389223,30.1,84.2
4500,39.6579561,25.3786055,27.880751,30.6,82.7
4510,42.36521934,25.58430127,27.49899552,30.1,83.0
4520,38.56298297,25.63371478,29.54391227,29.8,84.6
4530,38.04052407,25.06084653,27.59319055,29.8,84.4
4540,40.64482126,25.610022,29.69023954,30.4,81.1
4550,40.31675109,25.7081386,29.29875327,30.2,83.6
4560,38.11294037,25.14818591,26.99303495,29.7,85.0
4570,36.66145607,25.09768528,28.31589876,30.4,84.2
4580,34.41972693,24.85470287,29.77392423,29.9,84.4
4590,37.81353246,25.2253603,29.77241683,30.4,81.8
4600,33.75016272,25.3434789,30.0509791,29.9,83.4
4610,33.87612287,25.33701797,27.58716869,30.3,80.7
4620,33.4616969,25.361216,28.62964559,30.4,81.4
4630,34.46207474,25.62324871,29.96873662,30.0,80.8
4640,36.99508222,25.30249745,29.68134285,30.7,81.3
4650,33.05935247,24.92176364,28.69689671,29.8,81.2
4660,35.7365023,25.08278856,29.05462386,29.8,80.6
4670,33.03258796,25.38983073,29.4943552,29.9,81.6
4680,36.31829625,25.23249275,29.63474597,29.9,81.7
4690,36.31152034,25.56720728,28.91666754,30.4,83.4
4700,36.01814695,25.36829997,29.81219887,29.8,80.7
4710,35.74467798,24.98223931,27.5575688,30.1,81.6
4720,36.01354438,25.39937484,29.69683802,30.3,81.3
4730,35.49013056,25.37616721,27.81532289,29.9,84.2
4740,35.91906311,25.66049505,30.19317879,30.3,81.6
4750,36.36298123,25.26410244,28.68716822,29.9,84.4
4760,38.068557,25.33815187,28.3871844,30.2,82.7
4770,40.21556068,25.12749113,26.97938007,30.4,83.0
4780,36.58343242,25.62013834,30.49195821,30.6,83.1
4790,40.66077705,25.64984429,29.16786319,29.8,82.7
4800,41.21300503,25.90421519,29.51200362,30.0,83.1
4810,40.49709248,25.53343957,29.01894791,29.8,83.4
4820,38.9554887,25.56203502,29.87964638,30.5,83.5
4830,41.30614717,25.90563288,30.44095287,30.4,84.7
4840,41.42094887,25.61783244,29.43867739,30.7,82.2
