Time,FlowRate,InletTemperature,OutletTemperature,AirTemperature,RelativeHumidity,HeatLoss,VolumetricHumidity,MixingRatio
590,39.81819167,25.42795277,28.77207768,30.0,82.7,9320.990464436098,25.12463277817646,0.02231866324701415
600,39.44378206,25.6398275,29.10668165,29.8,85.2,9572.208766848456,25.605593021784582,0.022745978213027943
610,40.1861694,24.973438,27.47390621,30.5,82.3,7033.896734646227,25.68678315025212,0.022875416527489582
620,40.55796309,25.14741493,29.40978138,30.1,83.6,12101.1030808608,25.535669553820078,0.02270487928152521
630,43.92985892,25.7948692,28.38176528,30.4,81.7,7954.938588457069,25.362521442829514,0.02256845827917586
640,41.29100654,25.59291328,29.2283606,30.2,85.4,10507.789534616175,26.226708391664694,0.023350357608643534
650,40.05994446,24.96168294,28.86438132,30.6,82.0,10943.93162428524,25.731283146975535,0.022924331392260754
660,45.25957047,25.46284115,29.49152144,30.0,84.3,12763.543764044856,25.610719990329812,0.022766268391889905
670,42.09833728,25.00057522,26.99745938,30.4,84.3,5884.585201373855,26.16965186818272,0.023313591825186126
680,45.89216749,25.62423521,29.28677185,30.5,81.2,11765.722144479936,25.343460410698327,0.022558580646249434
690,41.84601714,25.42822471,27.87582806,29.7,84.7,7169.571621521504,25.317827664306364,0.022473421906135736
700,42.07672797,25.8419403,28.11104728,30.5,80.9,6683.361799260176,25.249826936274566,0.02247222488761119
710,42.4747431,25.58384032,29.48618645,30.2,84.5,11602.580455132049,25.95031450931694,0.023095139162846313
720,42.31884498,25.37428881,28.0950745,30.6,85.2,8059.835548723861,26.73543078197946,0.023853248118718976
730,46.83516907,25.14419421,29.55197034,30.4,84.9,14450.725818988229,26.35591273557192,0.023485790448085037
740,43.70822297,25.42566944,27.92095163,30.0,81.3,7634.5045233512965,24.69930646754227,0.021927518248420895
750,46.54472503,25.72016127,27.41659626,30.7,85.3,5527.207009857457,26.91116664755511,0.024024304965602903
760,44.70137464,24.98941,28.72880394,30.1,84.5,11700.923460693995,25.810575087294215,0.0229583321433191
770,45.93862921,24.97471153,26.70860894,30.2,84.8,5575.700914431858,26.04244580343286,0.023180189545142553
780,46.50952062,25.20876404,27.16678912,30.1,81.7,6374.676548291608,24.95531342759689,0.02217046577493197
790,46.03287937,25.34708431,29.87620031,30.0,84.8,14594.177533651591,25.762622244127733,0.022906272569070983
800,42.34227034,25.16340231,29.47505748,30.6,85.1,12779.56881746991,26.704051168385583,0.023824178966779616
810,43.84593802,25.01666029,27.23537265,29.9,82.5,6809.706723453748,24.928697425102445,0.02213085256964309
820,46.02599838,25.51551363,28.36569294,30.0,81.6,9182.764381333858,24.790447819821026,0.022011295048317975
830,42.48361811,25.0784832,27.16463788,30.7,81.5,6203.917912045647,25.712310454580788,0.02291462502654205
840,40.48246582,25.27075449,27.34710094,30.1,84.1,5883.89369348223,25.6883948501946,0.022845661828047766
850,43.42755504,24.98627012,28.92195305,30.5,83.2,11964.19609437944,25.967683573523406,0.023134877667900084
860,42.12540004,25.45085892,28.2591156,29.9,80.9,8280.925524200158,24.445231778070156,0.021686683012496943
870,42.2404081,25.53446892,27.66155908,30.2,84.2,6289.440949672606,25.858183215201024,0.023010111201691927
880,41.58329214,25.26090121,28.7480371,30.3,80.8,10150.461331202427,24.948268515927595,0.022179122881391972
890,38.05997827,25.25843939,28.5910789,30.5,84.2,8878.813113264043,26.27979515493595,0.023423412812059976
900,39.97406958,25.49073897,27.72325178,30.7,83.5,6246.983568362691,26.343287398251483,0.023498191448986894
910,40.58980555,25.72992696,29.00030848,30.3,85.0,9292.090497977943,26.245084453636697,0.0233753255721144
920,38.69566067,25.83042391,28.0218987,29.9,81.0,5936.039538848967,24.47544838100967,0.021714425662194118
930,35.9861723,25.15110926,27.14671207,30.2,80.7,5026.9874594116945,24.783318117181977,0.0220197720150412
940,35.82550534,25.05377459,29.90774161,30.4,85.3,12172.70749766357,26.48008664716472,0.023600640596595463
950,36.91208351,25.03750493,27.98567326,30.5,82.3,7617.612491894802,25.68678315025212,0.022875416527489582
960,37.47714025,25.0623632,29.82308615,30.4,80.7,12489.279718198066,25.052086663847515,0.022282326462612936
970,36.78963923,25.11981254,28.39880893,30.3,84.2,8444.316595720065,25.998071894073057,0.023147135041047734
980,35.09407209,25.20672967,29.88340574,30.7,83.1,11488.65249995105,26.21709200951734,0.02338139368852073
990,37.78577938,25.20980612,27.99632915,30.0,81.1,7370.3661114208435,24.6385455660231,0.02187167915690639
1000,36.68684571,25.47056641,28.96218028,30.2,81.5,8966.740952931015,25.02900156815776,0.02224586704152032
1010,35.55585899,25.71301642,29.73898164,30.7,83.6,10020.265616267501,26.374836245435016,0.02352739749506011
1020,34.47075095,25.21820077,28.27410203,30.0,81.5,7373.744788287591,24.760067369061446,0.021983367026248826
1030,37.12865991,25.15119839,28.629043,30.1,82.9,9038.939682116157,25.321854138895752,0.02250788695969258
1040,33.53683606,25.67859941,27.71505306,30.0,85.2,4780.7348542687005,25.88414404716607,0.023018319696394427
1050,35.3197102,25.62375045,28.54313498,29.9,81.3,7217.82708933743,24.566098189828224,0.021797667961958075
1060,34.90128677,25.53535327,29.63291743,29.8,84.5,10010.718326464385,25.395218431230013,0.022552322039952714
1070,36.62217166,24.93185017,28.35252216,30.1,84.4,8769.070576723365,25.780030028019315,0.022930160873374104
1080,35.10689545,25.55200865,30.00329909,30.7,82.3,10938.96916662651,25.96470123204907,0.0231479249273948
1090,32.95176558,25.0315665,27.41902811,30.1,82.7,5506.975271277855,25.26076402034594,0.022451625549213886
1100,38.09000046,25.13167918,28.2699576,29.9,85.1,8367.591852298572,25.714329101529913,0.0228539370000748
1110,35.86050101,25.47357063,29.86760292,30.4,84.6,11030.053956146228,26.262782301877316,0.02339967965023225
1120,35.13728897,25.17793599,27.99068477,30.3,83.8,6918.265667801246,25.87456561429124,0.02303310027906049
1130,37.72027711,25.03569699,28.34955491,30.4,81.3,8749.974733189765,25.238347531236712,0.02245397505930422
1140,35.81518622,25.10142008,29.76451513,29.8,83.9,11690.673230411714,25.21489735361181,0.02238642360530817
1150,39.88929093,25.86646766,28.801833,30.1,81.1,8196.274942316877,24.772043071947465,0.022001887640347436
1160,36.90182311,25.48484622,27.81740817,30.5,80.7,6025.305193041165,25.18740461999206,0.022414667236269527
1170,40.37975142,24.93991764,29.19724259,30.1,81.7,12033.680623661468,24.95531342759689,0.02217046577493197
1180,38.74499381,25.02478075,29.16579511,29.8,84.8,11231.050302172474,25.485378970039115,0.022635303295529548
1190,37.05347751,24.90389499,27.28732024,30.0,81.2,6181.993572834875,24.66892601678269,0.02189959749203197
1200,37.53194084,25.29162202,28.8630802,29.8,82.9,9383.062998700587,24.91436222424814,0.022110115915875653
1210,38.78195525,24.98929059,27.87761117,30.6,81.1,7841.030363684988,25.44886662463068,0.02266355482755518
1220,39.62672537,25.34838585,27.20158201,30.4,84.5,5140.5266702341,26.231738823979118,0.02337098115647016
1230,42.35937805,25.49799981,29.18627691,30.5,81.0,10936.318682244035,25.281038094415816,0.022501007569262703
1240,42.11243882,25.09049028,28.24853129,30.1,83.5,9309.496617727315,25.505124494545175,0.022676730148674034
1250,43.68177756,25.01695768,29.50203498,29.9,80.9,13714.13042706038,24.445231778070156,0.021686683012496943
1260,44.68833168,25.44090137,29.42665296,29.8,83.0,12468.161233360515,24.94441573718451,0.022137736020965346
1270,40.87383633,24.9801035,27.59757661,30.4,81.9,7489.031724742133,25.424608398625917,0.02262571514386129
1280,42.10141863,24.99423226,28.07167767,30.1,84.4,9069.537226216737,25.780030028019315,0.022930160873374104
1290,45.61929338,25.35765735,29.89022422,30.4,84.4,14474.074846489882,26.20069534608092,0.023342285214901594
1300,41.83924463,25.42408044,27.49292391,30.7,81.7,6059.119362975556,25.77540814894786,0.022972934181124095
1310,47.03353348,25.97218275,28.6538109,30.1,82.7,8828.851316175476,25.26076402034594,0.022451625549213886
1320,47.141871,25.59978963,27.95397373,29.9,85.2,7768.645020671582,25.744545704469434,0.022881780362708888
1330,45.50116171,25.49361434,28.71847551,30.3,85.6,10271.445071192888,26.430343873309422,0.02354657443590867
1340,44.78897729,25.38499703,29.53066997,30.5,85.3,12997.63158129993,26.623117894489745,0.023741099724500406
1350,44.12089596,25.35796001,29.86157885,30.5,85.1,13909.258879819514,26.56069557820723,0.023683315207374465
1360,47.13014319,25.73224361,28.46235404,30.2,81.7,9006.934684328873,25.090422430901704,0.022302415605722686
1370,42.77936722,25.52861552,29.58099914,30.2,80.6,12135.088489740505,24.752607685810002,0.021991521294756643
1380,43.51633187,25.46104857,29.36438333,30.1,84.7,11890.116757110676,25.87166520584403,0.02301468206739847
1390,43.57945153,25.73109482,29.65501586,30.1,81.7,11970.162873915902,24.95531342759689,0.02217046577493197
1400,42.48745786,25.15580795,27.82585208,30.6,82.5,7941.037122040078,25.8881812149449,0.02306929844752992
1410,45.93321784,25.50034078,29.87210204,30.1,81.3,14056.634361003713,24.833133190497275,0.022058070547035052
1420,43.61940603,25.33929156,27.38022567,30.2,85.4,6231.703353719674,26.226708391664694,0.023350357608643534
1430,41.29076469,25.8111091,28.90901707,30.2,81.8,8954.049231438195,25.12113286227368,0.022330693610757815
1440,44.94432601,25.16637412,29.49739682,30.0,84.4,13625.842732985724,25.641100441089403,0.02279426436395183
1450,40.30103639,25.24119769,28.64313063,30.4,83.7,9597.099624789586,25.983391000793517,0.023141485056751277
1460,39.95643812,25.16355064,27.83913985,30.0,83.3,7483.491029273324,25.306915482733967,0.02248644232699519
1470,42.41670392,25.66054645,29.96311147,30.4,84.3,12775.043858492232,26.16965186818272,0.023313591825186126
1480,38.79354741,25.2637818,29.018628,30.1,82.2,10196.466285387083,25.108038723971422,0.022311014988505753
1490,38.18052472,25.87541605,28.66704871,30.3,84.8,7461.019984900259,26.18333131374579,0.02331826280677401
1500,38.64920077,24.90938093,28.86476419,29.8,81.9,10701.068121662593,24.613827094884474,0.021834045089237152
1510,37.92405248,25.62547283,29.20746378,30.0,81.4,9509.052893947957,24.72968691830186,0.02195544142638817
1520,38.49479052,25.33585557,27.33994381,30.6,81.5,5400.286988767688,25.57438507900617,0.02277942948154799
1530,40.52055821,25.5148523,28.0156196,29.9,84.5,7093.274086452015,25.533029483892808,0.022686927303593632
1540,35.96338151,25.79144874,28.58218428,30.2,85.1,7025.50008429751,26.134577097548775,0.023265262357450214
1550,39.4525956,24.97807881,29.03440858,30.1,83.0,11202.291662523576,25.35239919817065,0.022536021348974217
1560,37.7217123,25.85186528,29.46637333,30.0,83.2,9544.180293769385,25.276535031974383,0.02245847307911753
1570,38.46145623,25.41536368,29.26432851,30.5,84.0,10362.575463789808,26.217372838653443,0.023365685136962144
1580,37.80343638,25.27449063,29.81372395,30.4,81.4,12011.903261861733,25.269391009134917,0.02248259205143149
1590,34.7620974,25.02467831,28.44258538,30.5,81.1,8316.95329300421,25.312249252557066,0.022529792822027273
1600,37.43056124,24.94002085,28.08306555,30.1,80.6,8235.214898638524,24.61931777557295,0.021861473249229036
1610,36.44491519,25.06319814,28.42149279,29.8,82.8,8567.493459159647,24.884308711311775,0.022082498179413473
1620,34.56219516,24.90283383,27.08119246,30.7,85.1,5270.219926897121,26.848068953188033,0.02396580555921823
1630,33.59749974,25.64331106,28.41915721,30.2,85.2,6528.304321203357,26.16528752892075,0.023293624947533436
1640,36.29673484,25.43050297,28.62501873,30.2,80.7,8116.53440380448,24.783318117181977,0.0220197720150412
1650,36.60842744,25.44835446,28.686974,29.9,82.3,8299.253790509927,24.868264219223406,0.022075297853985255
1660,32.8477263,25.12269282,30.06389959,29.9,84.8,11361.518530086685,25.623679292711362,0.022770421336704316
1670,33.4449994,25.36964379,28.34434736,30.2,82.2,6964.22713796795,25.24397458776157,0.022443830458084728
1680,35.91268528,25.03871959,26.98140152,30.4,82.7,4883.684732586307,25.672956221811518,0.022854844364195062
1690,36.7020391,25.73740204,30.00632169,30.0,84.1,10967.463913634085,25.54995908881064,0.022710283740610425
1700,33.17162641,25.28214325,29.64623781,30.1,84.0,10133.48800535633,25.6578497909197,0.022817500400033865
1710,36.31446098,25.62759793,30.32230465,29.9,82.3,11934.00207971886,24.868264219223406,0.022075297853985255
1720,35.46704236,25.01644653,28.31849495,30.6,81.9,8197.97238308378,25.69990353338166,0.022895345799959107
1730,35.81797604,25.53592099,29.38981975,30.3,81.3,9662.7197412386,25.102651365654868,0.02232129537972438
1740,36.02430489,25.84054024,30.68825745,30.2,81.7,12224.49499554781,25.090422430901704,0.022302415605722686
1750,36.37630027,25.39399787,28.75930396,30.0,85.5,8569.216938120975,25.975285399444825,0.023102380596789575
1760,36.23130539,25.34088949,27.30763193,30.4,81.0,4988.035217697965,25.145217097542115,0.022368139329545022
1770,38.80649568,25.0771075,28.81962269,30.0,83.3,10166.372968714853,25.306915482733967,0.02248644232699519
1780,37.88456006,25.53020983,29.61139736,30.4,81.1,10822.979586748565,25.176260575440313,0.022396748698699457
1790,39.00413585,25.83790764,28.99777982,30.5,83.3,8627.365864414896,25.99889473166466,0.02316371957242606
1800,40.06760758,25.86899013,30.30455139,30.3,83.4,12440.562957391125,25.75105933450942,0.0229191058242562
1810,41.36501817,25.42815772,28.39201566,30.4,81.0,8582.002627897904,25.145217097542115,0.022368139329545022
1820,38.61352593,25.578528,30.22932162,30.5,84.6,12570.847802866405,26.404639787500965,0.02353889915104989
1830,39.52892893,25.23133549,29.48039878,29.9,85.4,11757.264456663745,25.80497891034847,0.022937474302111606
1840,43.33966308,25.16689507,28.12350026,30.0,85.3,8969.679095662561,25.914524497925658,0.023046337562197292
1850,43.4329237,24.94160922,27.59218696,30.1,80.7,8058.56385196369,24.649862834847852,0.021889551228666232
1860,42.36767238,25.40558925,28.39549595,30.3,83.8,8867.277125865692,25.87456561429124,0.02303310027906049
1870,44.79674945,25.13446763,28.87064794,30.3,84.2,11715.811327296538,25.998071894073057,0.023147135041047734
1880,43.05978366,25.3938513,28.06033841,30.1,82.3,8037.2850662145,25.13858378324632,0.022339132191591563
1890,43.70207101,25.40941638,29.84668917,29.8,81.5,13574.26073915246,24.493613043139007,0.021723683011951333
1900,45.63264482,25.93158377,30.04466563,29.9,81.4,13138.356254307553,24.596314792767746,0.021825420179801266
1910,42.44136648,25.49313325,27.84007234,29.9,84.5,6972.511141744937,25.533029483892808,0.022686927303593632
1920,45.83838619,25.28440678,28.52677692,30.6,85.3,10403.751025377102,26.766810395573334,0.02388231988771675
1930,42.76363211,25.91299947,30.32432445,30.4,83.4,13205.099499366119,25.890260567098924,0.023055466094993517
1940,43.22977246,25.48640762,29.61944101,30.1,83.8,12506.906511349764,25.59675967236989,0.022761184922714527
1950,46.63492736,25.93838997,28.66814839,29.8,82.6,8911.145993893384,24.82420168543904,0.022027269811152977
1960,47.21901451,25.40678769,29.11450868,30.5,84.1,12255.245185808906,26.248583996794693,0.023394547683600036
1970,46.65546229,25.48282135,28.79954463,30.4,82.5,10832.028054148364,25.61086926601512,0.022797546789447523
1980,46.18023314,25.35874135,27.60213854,30.4,81.5,7252.04236818746,25.300434487033115,0.022511211585226752
1990,44.96516428,25.36578036,28.15319924,30.7,84.6,8773.572349946155,26.690324717270368,0.023819603385520968
2000,44.28156857,25.50210142,28.0665405,30.3,83.1,7949.016947522538,25.65842962467305,0.022833636421887685
2010,46.35087918,25.65338154,29.71926983,30.7,83.8,13192.024782241675,26.43793393980209,0.023585817516865545
2020,44.12796555,25.78778612,29.84597379,30.6,84.4,12535.56959880363,26.48439387322848,0.02362076815116503
2030,44.00559546,25.21182972,28.7679467,30.0,83.3,10954.23316612218,25.306915482733967,0.02248644232699519
2040,42.97885537,25.89895507,29.85276513,29.8,84.3,11895.116151043378,25.335111405357274,0.022497013070958208
2050,42.03900032,25.65039978,28.77124819,29.8,80.6,9183.814311466305,24.223131426711703,0.02147550662389212
2060,39.62101658,25.23230984,27.53013772,29.8,83.8,6372.959357202637,25.184843840675445,0.022358782168851777
2070,41.09555805,25.35150733,29.28372883,30.3,83.9,11311.778584309568,25.905442184236694,0.023061605189923923
2080,43.53618014,25.76613546,29.79781106,30.2,85.0,12286.66286313498,26.103866666176806,0.023236902260576474
2090,38.8880772,25.05221068,29.688067,30.6,83.8,12619.567692218747,26.296116191665238,0.02344651798318868
2100,41.93143143,25.64948318,29.64849115,30.7,84.3,11737.8889937455,26.595678175719762,0.023731913844472343
2110,41.82892156,25.41356687,27.83125788,29.9,84.8,7079.058532952497,25.623679292711362,0.022770421336704316
2120,37.38974113,25.37850533,28.35879441,30.6,84.1,7800.256603563615,26.39025503244686,0.023533631307889748
2130,38.35579719,25.77044667,29.84879451,30.6,80.7,10949.979783492028,25.32334817025519,0.02254772181552122
2140,39.25527494,25.76058849,28.02076552,30.6,82.4,6210.670950800588,25.856801601351023,0.02304029982280297
2150,36.76320125,25.67261354,29.31966473,29.9,84.0,9385.409380691539,25.381946469195213,0.02254781862616783
2160,37.5663141,25.84755432,28.26014563,30.1,82.8,6344.251406247333,25.29130907962084,0.022479755026546335
2170,36.01355616,25.81098716,28.02992013,30.3,81.7,5593.816699125945,25.226157645436686,0.022435078572018655
2180,35.07616627,24.88250793,28.86737008,30.5,82.9,9784.158113550082,25.874050099099648,0.02304836742518011
2190,36.90381777,24.88554375,27.58321312,29.9,81.9,6968.80091839335,24.747397807465337,0.02196421716735649
2200,36.1134423,25.30506696,29.46823949,30.6,85.2,10524.254366296995,26.73543078197946,0.023853248118718976
2210,33.28460348,25.66525724,29.08802866,30.2,80.9,7974.791266216358,24.844738979925925,0.022076280892335712
2220,37.19725692,25.87152775,29.99700701,29.8,83.2,10741.955836664609,25.004522763057242,0.022192983338246222
2230,35.59092526,25.83770689,28.88239423,30.5,82.6,7585.426769060573,25.78041662467588,0.02296188038148677
2240,37.17562542,25.14010732,28.30219575,29.8,81.4,8228.683051301716,24.46355953020264,0.021696098404306863
2250,36.45833965,24.90204248,28.31296675,30.7,82.7,8704.964488926187,26.0908966207832,0.02326463818896761
2260,36.44755607,24.87895178,27.98123704,30.1,83.3,7914.950117128913,25.444034375995365,0.022620439256848583
2270,34.51829701,25.70983638,28.93495198,30.3,81.1,7792.784872066909,25.040898225763954,0.022264418850114785
2280,37.57767705,25.82660075,30.3276635,29.8,83.5,11839.76376808994,25.094683301866343,0.022275872086493807
2290,36.83483473,25.4375979,29.95901807,30.2,82.8,11658.20352947869,25.4282371759934,0.022613610246609617
2300,36.34891815,25.54366364,29.15721179,29.9,81.9,9194.399615480384,24.747397807465337,0.02196421716735649
2310,33.74531358,25.01433041,27.80505543,30.4,84.5,6592.1723640816235,26.231738823979118,0.02337098115647016
2320,38.32164172,24.89864614,29.55280706,30.7,83.8,12484.856109842587,26.43793393980209,0.023585817516865545
2330,35.87505322,25.02921042,28.09832711,30.7,83.9,7707.33072144982,26.469482786985623,0.02361503149331545
2340,35.09016015,25.24937963,29.30043787,30.0,85.4,9950.659769300399,25.94490494868524,0.023074357862223262
2350,39.72452341,25.40745738,27.47808205,30.1,84.8,5757.820472371698,25.90221026511893,0.023042860722178028
2360,40.22889584,25.76982631,29.76704987,30.0,84.9,11256.272317110383,25.793002694887317,0.0229342807011528
2370,38.78385761,25.18512532,27.60429296,29.9,82.2,6567.725729913576,24.83804761628389,0.02204752408970704
2380,36.99525572,25.25877929,29.13390913,30.2,83.1,10035.299356530186,25.52036847010932,0.022698533692906687
2390,41.55916055,25.91164374,29.29604333,30.5,83.9,9845.696414831496,26.186161680512186,0.023336825171799906
2400,40.06496205,25.50710299,28.32160792,30.5,83.8,7893.4123246991585,26.15495052237093,0.02330796778776702
2410,39.03530388,25.34349747,29.89963824,29.9,81.7,12449.52376339051,24.686964601586304,0.02190869119142837
2420,42.29408073,25.6674939,28.95921875,30.7,83.1,9745.433358279302,26.21709200951734,0.02338139368852073
2430,43.92817386,25.81296849,27.95698593,30.6,82.3,6592.793960423445,25.825421987757153,0.02301130380526414
2440,39.87191781,25.83926737,29.28668137,30.1,82.4,9621.850536553027,25.169128842521232,0.022367251848883923
2450,44.96382544,25.78282644,29.21824672,29.8,84.8,10812.874644806912,25.485378970039115,0.022635303295529548
2460,41.40754461,25.16635749,27.67276689,30.5,82.0,7264.89813289963,25.593149675828357,0.02278897585386305
2470,45.37149344,25.10034671,28.75671862,30.6,83.5,11612.653789013571,26.20197735088362,0.023359428167541482
2480,41.90281066,25.90879482,28.12452973,30.3,83.3,6499.186428453744,25.720182764563965,0.022890613506048194
2490,42.69132384,25.21466074,27.67469382,30.7,84.9,7351.544821277493,26.784971258820967,0.023907316746789833
2500,43.14478909,25.80416682,28.77836495,30.0,85.3,8982.480572150573,25.914524497925658,0.023046337562197292
2510,42.91606692,25.88245012,27.97732094,30.1,82.5,6293.25314099126,25.19967390179613,0.022395373960704155
2520,44.50477369,25.70841023,29.5023469,30.7,84.9,11819.380502477956,26.784971258820967,0.023907316746789833
2530,47.33946982,25.12641652,28.91026037,30.0,85.2,12538.761321846732,25.88414404716607,0.023018319696394427
2540,45.17893388,25.89970479,29.53787028,30.6,84.3,11505.790668204543,26.453014259634603,0.023591719922977133
2550,43.34401642,25.09182688,29.13279227,30.6,84.3,12260.61691517682,26.453014259634603,0.023591719922977133
2560,45.53288884,25.48651851,29.22026903,30.7,85.3,11900.591316841657,26.91116664755511,0.024024304965602903
2570,46.68889698,25.95260392,27.95980653,30.3,82.3,6559.985311339399,25.411417065109415,0.022605828733069495
